cityCode;cityName;cityNameNoAccents
5107305;São José do Rio Claro;Sao Jose do Rio Claro
5107354;São José do Xingu;Sao Jose do Xingu
5107107;São José dos Quatro Marcos;Sao Jose dos Quatro Marcos
5107404;São Pedro da Cipa;Sao Pedro da Cipa
5107875;Sapezal;Sapezal
5107883;Serra Nova Dourada;Serra Nova Dourada
5107909;Sinop;Sinop
5107925;Sorriso;Sorriso
5107941;Tabaporã;Tabapora
5107958;Tangará da Serra;Tangara da Serra
5108006;Tapurah;Tapurah
5108055;Terra Nova do Norte;Terra Nova do Norte
5108105;Tesouro;Tesouro
5108204;Torixoréu;Torixoreu
5108303;União do Sul;Uniao do Sul
5108352;Vale de São Domingos;Vale de Sao Domingos
5108402;Várzea Grande;Varzea Grande
5108501;Vera;Vera
5105507;Vila Bela da Santíssima Trindade;Vila Bela da Santissima Trindade
5108600;Vila Rica;Vila Rica
5200050;Abadia de Goiás;Abadia de Goias
5200100;Abadiânia;Abadiania
5200134;Acreúna;Acreuna
5200159;Adelândia;Adelandia
5200175;Água Fria de Goiás;Agua Fria de Goias
5200209;Água Limpa;Agua Limpa
5200258;Águas Lindas de Goiás;Aguas Lindas de Goias
5200308;Alexânia;Alexania
5200506;Aloândia;Aloandia
5200555;Alto Horizonte;Alto Horizonte
5200605;Alto Paraíso de Goiás;Alto Paraiso de Goias
5200803;Alvorada do Norte;Alvorada do Norte
5200829;Amaralina;Amaralina
5200852;Americano do Brasil;Americano do Brasil
5200902;Amorinópolis;Amorinopolis
5201108;Anápolis;Anapolis
5201207;Anhanguera;Anhanguera
5201306;Anicuns;Anicuns
5201405;Aparecida de Goiânia;Aparecida de Goiania
5201454;Aparecida do Rio Doce;Aparecida do Rio Doce
5201504;Aporé;Apore
5201603;Araçu;Aracu
5201702;Aragarças;Aragarcas
5201801;Aragoiânia;Aragoiania
5202155;Araguapaz;Araguapaz
5202353;Arenópolis;Arenopolis
5202502;Aruanã;Aruana
5202601;Aurilândia;Aurilandia
5202809;Avelinópolis;Avelinopolis
5203104;Baliza;Baliza
5203203;Barro Alto;Barro Alto
5203302;Bela Vista de Goiás;Bela Vista de Goias
5203401;Bom Jardim de Goiás;Bom Jardim de Goias
5203500;Bom Jesus de Goiás;Bom Jesus de Goias
5203559;Bonfinópolis;Bonfinopolis
5203575;Bonópolis;Bonopolis
5203609;Brazabrantes;Brazabrantes
5203807;Britânia;Britania
5203906;Buriti Alegre;Buriti Alegre
5203939;Buriti de Goiás;Buriti de Goias
5203962;Buritinópolis;Buritinopolis
5204003;Cabeceiras;Cabeceiras
5204102;Cachoeira Alta;Cachoeira Alta
5204201;Cachoeira de Goiás;Cachoeira de Goias
5204250;Cachoeira Dourada;Cachoeira Dourada
5204300;Caçu;Cacu
5204409;Caiapônia;Caiaponia
5204508;Caldas Novas;Caldas Novas
5204557;Caldazinha;Caldazinha
5204607;Campestre de Goiás;Campestre de Goias
5204656;Campinaçu;Campinacu
5204706;Campinorte;Campinorte
5204805;Campo Alegre de Goiás;Campo Alegre de Goias
5204854;Campo Limpo de Goiás;Campo Limpo de Goias
5204904;Campos Belos;Campos Belos
5204953;Campos Verdes;Campos Verdes
5205000;Carmo do Rio Verde;Carmo do Rio Verde
5205059;Castelândia;Castelandia
5205109;Catalão;Catalao
5205208;Caturaí;Caturai
5205307;Cavalcante;Cavalcante
5205406;Ceres;Ceres
5205455;Cezarina;Cezarina
5205471;Chapadão do Céu;Chapadao do Ceu
5205497;Cidade Ocidental;Cidade Ocidental
5205513;Cocalzinho de Goiás;Cocalzinho de Goias
5205521;Colinas do Sul;Colinas do Sul
5205703;Córrego do Ouro;Corrego do Ouro
5205802;Corumbá de Goiás;Corumba de Goias
5205901;Corumbaíba;Corumbaiba
5206206;Cristalina;Cristalina
5206305;Cristianópolis;Cristianopolis
5206404;Crixás;Crixas
5206503;Cromínia;Crominia
5206602;Cumari;Cumari
5206701;Damianópolis;Damianopolis
5206800;Damolândia;Damolandia
5206909;Davinópolis;Davinopolis
5207105;Diorama;Diorama
5208301;Divinópolis de Goiás;Divinopolis de Goias
5207253;Doverlândia;Doverlandia
5207352;Edealina;Edealina
5207402;Edéia;Edeia
5207501;Estrela do Norte;Estrela do Norte
5207535;Faina;Faina
5207600;Fazenda Nova;Fazenda Nova
5207808;Firminópolis;Firminopolis
5207907;Flores de Goiás;Flores de Goias
5208004;Formosa;Formosa
5208103;Formoso;Formoso
5208152;Gameleira de Goiás;Gameleira de Goias
5208400;Goianápolis;Goianapolis
5208509;Goiandira;Goiandira
5208608;Goianésia;Goianesia
5208707;Goiânia;Goiania
5208806;Goianira;Goianira
5208905;Goiás;Goias
5209101;Goiatuba;Goiatuba
5209150;Gouvelândia;Gouvelandia
5209200;Guapó;Guapo
5209291;Guaraíta;Guaraita
5209408;Guarani de Goiás;Guarani de Goias
5209457;Guarinos;Guarinos
5209606;Heitoraí;Heitorai
5209705;Hidrolândia;Hidrolandia
5209804;Hidrolina;Hidrolina
5209903;Iaciara;Iaciara
5209937;Inaciolândia;Inaciolandia
5209952;Indiara;Indiara
5210000;Inhumas;Inhumas
5210109;Ipameri;Ipameri
5210158;Ipiranga de Goiás;Ipiranga de Goias
5210208;Iporá;Ipora
5210307;Israelândia;Israelandia
5210406;Itaberaí;Itaberai
5210562;Itaguari;Itaguari
5210604;Itaguaru;Itaguaru
5210802;Itajá;Itaja
5210901;Itapaci;Itapaci
5211008;Itapirapuã;Itapirapua
5211206;Itapuranga;Itapuranga
5211305;Itarumã;Itaruma
5211404;Itauçu;Itaucu
5211503;Itumbiara;Itumbiara
5211602;Ivolândia;Ivolandia
5211701;Jandaia;Jandaia
5211800;Jaraguá;Jaragua
5211909;Jataí;Jatai
5212006;Jaupaci;Jaupaci
5212055;Jesúpolis;Jesupolis
5212105;Joviânia;Joviania
5212204;Jussara;Jussara
5212253;Lagoa Santa;Lagoa Santa
5212303;Leopoldo de Bulhões;Leopoldo de Bulhoes
5212501;Luziânia;Luziania
5212600;Mairipotaba;Mairipotaba
5212709;Mambaí;Mambai
5212808;Mara Rosa;Mara Rosa
5212907;Marzagão;Marzagao
5212956;Matrinchã;Matrincha
5213004;Maurilândia;Maurilandia
5213053;Mimoso de Goiás;Mimoso de Goias
5213087;Minaçu;Minacu
5213103;Mineiros;Mineiros
5213400;Moiporá;Moipora
5213509;Monte Alegre de Goiás;Monte Alegre de Goias
5213707;Montes Claros de Goiás;Montes Claros de Goias
5213756;Montividiu;Montividiu
5213772;Montividiu do Norte;Montividiu do Norte
5213806;Morrinhos;Morrinhos
5213855;Morro Agudo de Goiás;Morro Agudo de Goias
5213905;Mossâmedes;Mossamedes
5214002;Mozarlândia;Mozarlandia
5214051;Mundo Novo;Mundo Novo
5214101;Mutunópolis;Mutunopolis
5214408;Nazário;Nazario
5214507;Nerópolis;Neropolis
5214606;Niquelândia;Niquelandia
5214705;Nova América;Nova America
5214804;Nova Aurora;Nova Aurora
5214838;Nova Crixás;Nova Crixas
5214861;Nova Glória;Nova Gloria
5214879;Nova Iguaçu de Goiás;Nova Iguacu de Goias
5214903;Nova Roma;Nova Roma
5215009;Nova Veneza;Nova Veneza
5215207;Novo Brasil;Novo Brasil
5215231;Novo Gama;Novo Gama
5215256;Novo Planalto;Novo Planalto
5215306;Orizona;Orizona
5215405;Ouro Verde de Goiás;Ouro Verde de Goias
5215504;Ouvidor;Ouvidor
5215603;Padre Bernardo;Padre Bernardo
5215652;Palestina de Goiás;Palestina de Goias
5215702;Palmeiras de Goiás;Palmeiras de Goias
5215801;Palmelo;Palmelo
5215900;Palminópolis;Palminopolis
5216007;Panamá;Panama
5216304;Paranaiguara;Paranaiguara
5216403;Paraúna;Parauna
5216452;Perolândia;Perolandia
5216809;Petrolina de Goiás;Petrolina de Goias
5216908;Pilar de Goiás;Pilar de Goias
5217104;Piracanjuba;Piracanjuba
5217203;Piranhas;Piranhas
5217302;Pirenópolis;Pirenopolis
5217401;Pires do Rio;Pires do Rio
5217609;Planaltina;Planaltina
5217708;Pontalina;Pontalina
5218003;Porangatu;Porangatu
5218052;Porteirão;Porteirao
5218102;Portelândia;Portelandia
5218300;Posse;Posse
5218391;Professor Jamil;Professor Jamil
5218508;Quirinópolis;Quirinopolis
5218607;Rialma;Rialma
5218706;Rianápolis;Rianapolis
5218789;Rio Quente;Rio Quente
5218805;Rio Verde;Rio Verde
5218904;Rubiataba;Rubiataba
5219001;Sanclerlândia;Sanclerlandia
5219100;Santa Bárbara de Goiás;Santa Barbara de Goias
5219209;Santa Cruz de Goiás;Santa Cruz de Goias
5219258;Santa Fé de Goiás;Santa Fe de Goias
5219308;Santa Helena de Goiás;Santa Helena de Goias
5219357;Santa Isabel;Santa Isabel
5219407;Santa Rita do Araguaia;Santa Rita do Araguaia
5219456;Santa Rita do Novo Destino;Santa Rita do Novo Destino
5219506;Santa Rosa de Goiás;Santa Rosa de Goias
5219605;Santa Tereza de Goiás;Santa Tereza de Goias
5219704;Santa Terezinha de Goiás;Santa Terezinha de Goias
5219712;Santo Antônio da Barra;Santo Antonio da Barra
5219738;Santo Antônio de Goiás;Santo Antonio de Goias
5219753;Santo Antônio do Descoberto;Santo Antonio do Descoberto
5219803;São Domingos;Sao Domingos
5219902;São Francisco de Goiás;Sao Francisco de Goias
5220058;São João da Paraúna;Sao Joao da Parauna
5220009;São João d'Aliança;Sao Joao d'Alianca
5220108;São Luís de Montes Belos;Sao Luis de Montes Belos
5220157;São Luiz do Norte;Sao Luiz do Norte
5220207;São Miguel do Araguaia;Sao Miguel do Araguaia
5220264;São Miguel do Passa Quatro;Sao Miguel do Passa Quatro
5220280;São Patrício;Sao Patricio
5220405;São Simão;Sao Simao
5220454;Senador Canedo;Senador Canedo
5220504;Serranópolis;Serranopolis
5220603;Silvânia;Silvania
5220686;Simolândia;Simolandia
5220702;Sítio d'Abadia;Sitio d'Abadia
5221007;Taquaral de Goiás;Taquaral de Goias
5221080;Teresina de Goiás;Teresina de Goias
5221197;Terezópolis de Goiás;Terezopolis de Goias
5221304;Três Ranchos;Tres Ranchos
5221403;Trindade;Trindade
5221452;Trombas;Trombas
5221502;Turvânia;Turvania
5221551;Turvelândia;Turvelandia
5221577;Uirapuru;Uirapuru
5221601;Uruaçu;Uruacu
5221700;Uruana;Uruana
5221809;Urutaí;Urutai
5221858;Valparaíso de Goiás;Valparaiso de Goias
5221908;Varjão;Varjao
5222005;Vianópolis;Vianopolis
5222054;Vicentinópolis;Vicentinopolis
5222203;Vila Boa;Vila Boa
5222302;Vila Propício;Vila Propicio
